DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number,media type
"
2021-12-0420:44
",45,https://losangeles.craigslist.org/sfv/clt/d/los-angeles-queen-victoria-jubilee/7416649396.html,,,,,,,,,,,,,,F. & C.,"9 1/2""",0,0
"
2021-12-1416:29
",1899,https://losangeles.craigslist.org/sfv/hsh/d/tarzana-brand-new-2640-dimplex-opti/7420886251.html,,,,like new,,,,,,,,,,Dimplex,0,Opti-myst Pro 1000,0
"
2021-11-2219:13
",22,https://orangecounty.craigslist.org/emd/d/long-beach-vintage-original-1970/7411608663.html,,,,good,,,,,,,,,,0,0,0,vinyl
"
2021-12-0719:11
",25,https://losangeles.craigslist.org/lac/atq/d/los-angeles-theodore-haviland-limoges/7417935326.html,,,,,,,,,,,,,,Theodore Havilland,"10""",Limoges,0
"
2021-12-1913:57
",250,https://losangeles.craigslist.org/sfv/clt/d/burbank-magic-the-gathering-cards/7422849686.html,delivery available,deli,,like new,,,,,,,,,,Wizards of The Coast,0,0,0
"
2021-12-1807:58
",250,https://losangeles.craigslist.org/lgb/atq/d/long-beach-vintage-panasonic-re-787/7422324494.html,,,,good,,,,,,,,,,Panasonic,0,RE-797 Autotuning Stereo,0
"
2021-12-2213:08
",1000,https://orangecounty.craigslist.org/sys/d/irvine-2019-apple-macbook-pro-16/7424049291.html,,,,good,,,,,,,,,,Apple,16”,MacBook Pro,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0114:12
",1700,https://orangecounty.craigslist.org/pts/d/costa-mesa-fvd-porsche-sport-muffler/7415197014.html,delivery available,deli,,excellent,,,,,,,,,,FVD Brombacher,0,BES.991.250.40S,0
"
2021-12-0913:14
",325,https://inlandempire.craigslist.org/atq/d/upland-antique-french-side-table/7418695457.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2710:17
",350,https://inlandempire.craigslist.org/fuo/d/murrieta-living-room-furniture/7413306765.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-2318:13
",795,https://santabarbara.craigslist.org/hsh/d/mikasa-prelude-formal-china-l9713/7424515727.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-1818:30
",120,https://ventura.craigslist.org/for/d/brians-orchard-fill-your-truck-seasoned/7422584649.html,,,,,,,,,,,,,,0,"16""x4""",0,0
"
2021-11-1812:26
",15,https://bakersfield.craigslist.org/for/d/mojave-getting-outdoors-or-staying-in/7409742280.html,,,,,,,,,,,,,,0,0,0,0
