DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number
"
2021-12-1300:47
",995,https://losangeles.craigslist.org/lac/fud/d/los-angeles-oman-jun-danish-mid-century/7420094297.html,,,,good,,,,,,,,,,0,0
"
2021-12-0618:38
",1200,https://losangeles.craigslist.org/sgv/pts/d/covina-onan-rv-generator/7417472200.html,,,,,,,,,,,,,,0,0
"
2021-12-2006:11
",0,https://bakersfield.craigslist.org/hvd/d/cat-ct660s-truck-tractor-day-cab-2013/7423024971.html,,,,good,,,,,,,,,,Cat CT660S Truck Tractor Day Cab,Cat CT660S Truck Tractor Day Cab
"
2021-12-1918:50
",34900,https://bakersfield.craigslist.org/hvd/d/international-8600-tandem-axle-cab/7422934119.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2011',INTERNATIONAL DAY CAB 2011'
"
2021-12-1913:24
",34900,https://bakersfield.craigslist.org/hvd/d/international-day-cab-miles/7422837448.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2012',INTERNATIONAL DAY CAB 2012'
"
2021-12-0816:04
",59900,https://bakersfield.craigslist.org/hvd/d/kenworth-t800-day-cab-super-clean-2012/7418326138.html,,,,good,,,,,,,,,,KENWORTH T800 DAY CAB,KENWORTH T800 DAY CAB
"
2021-11-3017:10
",34900,https://bakersfield.craigslist.org/hvd/d/freightliner-cascadia-125-single-axle/7414812986.html,,,,good,,,,,,,,,,FREIGHTLINER DAY CAB TRUCK SINGL,FREIGHTLINER DAY CAB TRUCK SINGL
"
2021-11-3008:11
",32900,https://bakersfield.craigslist.org/hvd/d/freightliner-business-class-model-low/7414540552.html,,,,good,,,,,,,,,,FREIGHTLINER BUSINESS CLASS M2,FREIGHTLINER BUSINESS CLASS M2
"
2021-11-3002:17
",109900,https://bakersfield.craigslist.org/hvd/d/kobelco-excavator-sk140sr-lc-hours/7414439911.html,,,,excellent,,,,,,,,,,"KOBELCO SK140SR LC-5, 2018","KOBELCO SK140SR LC-5, 2018"
"
2021-11-2920:24
",49900,https://bakersfield.craigslist.org/hvd/d/volvo-vnl64t300-day-cab-truck-tractor/7414402807.html,,,,good,,,,,,,,,,VOLVO DAY CAB 2013,VOLVO DAY CAB 2013
