DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,media type
"
2021-12-2217:27
",0,https://losangeles.craigslist.org/lac/tag/d/inglewood-1-new-years-salute-fun/7424140008.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1713:21
",70,https://losangeles.craigslist.org/sgv/for/d/bobby-orr-autograph-hard-signed/7422077794.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1508:59
",29,https://losangeles.craigslist.org/wst/ele/d/hermosa-beach-mini-sound-bar-speakers/7421103990.html,,,,excellent,,,,,,,,,,Salute,0,0,0
"
2021-12-2111:09
",0,https://losangeles.craigslist.org/wst/tag/d/inglewood-new-years-salute-1/7423591915.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2021:24
",450,https://losangeles.craigslist.org/lac/for/d/los-angeles-salutes-cake-salute-color-1/7423383583.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2013:09
",0,https://losangeles.craigslist.org/lac/atq/d/los-angeles-salute-new-year-night-lights/7423236060.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0607:30
",250,https://losangeles.craigslist.org/sgv/bks/d/venetia-felix-gabriel-bella-venetian/7417143243.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-3019:57
",0,https://losangeles.craigslist.org/sfv/clt/d/vintage-ceramic-whiskey-decanters/7414858685.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-11-2112:08
",20,https://losangeles.craigslist.org/sfv/clt/d/north-hollywood-horse-racing-oak-tree/7411011333.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2112:09
",20,https://losangeles.craigslist.org/sfv/clt/d/horse-racing-vintage/7411011620.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1913:22
",100,https://losangeles.craigslist.org/lac/atq/d/los-angeles-engraving-1863-antique/7422836415.html,,,,good,,,,,,,,,,Thomas Worlidge,James Vallentin,"13.5"" w x 16"" h x 2.25"" d",0
"
2021-11-3022:32
",9990,https://inlandempire.craigslist.org/eld/d/corona-workfar-v3-humanoid-service/7414883747.html,,,,new,,,,,,,,,,WorkFar,V3 Robot,5ft 3in Tall,0
"
2021-12-2111:23
",120,https://losangeles.craigslist.org/wst/for/d/compton-new-years-salutes/7423598837.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-0920:23
",160,https://orangecounty.craigslist.org/app/d/santa-ana-salutes/7405921411.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-2616:28
",10,https://orangecounty.craigslist.org/hsh/d/santa-ana-bar-items-package/7413056717.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1416:13
",60,https://orangecounty.craigslist.org/clt/d/tustin-vintage-coors-lite-and-brewing/7420880711.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2616:17
",10,https://orangecounty.craigslist.org/clt/d/garden-grove-new-superman-action-comics/7413053499.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2310:01
",60,https://inlandempire.craigslist.org/clo/d/patton-los-angeles-chargers-mens-hoodie/7424347764.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-0716:07
",2,https://inlandempire.craigslist.org/emd/d/lake-elsinore-hundreds-of-dvds-all-in/7417878768.html,,,,,,,,,,,,,,0,0,0,dvd
"
2021-11-3006:35
",4,https://ventura.craigslist.org/tag/d/simi-valley-new-hot-wheels-salute-to/7414492814.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-2612:00
",12,https://ventura.craigslist.org/spo/d/camarillo-los-angeles-rams-rally-towel/7412948098.html,,,,new,,,,,,,,,,0,0,"17"" x 15""",0
"
2021-11-1415:24
",60,https://ventura.craigslist.org/clt/d/camarillo-sabino-france-inch-opalescent/7408024670.html,,,,like new,,,,,,,,,,Sabino,0,0,0
