DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,bicycle frame material,bicycle type,frame size,suspension,wheel size,brake type,electric assist,handlebar type
"
2021-12-2305:33
",19,https://losangeles.craigslist.org/wst/mpo/d/los-angeles-brand-new-shogun-swing-arm/7424235994.html,,,,new,,,,,,,,,,Shogun,Swingarm Spool sliders,HONDA & SUZUKI,0,0,0,0,0,0,0,0
"
2021-11-3012:05
",95,https://losangeles.craigslist.org/sfv/bik/d/26-mountain-bike/7414678100.html,,,,,,,,,,,,,,Shogun,0,0,steel,mountain,"19""",none (rigid),26 in,0,0,0
"
2021-12-1015:23
",880,https://losangeles.craigslist.org/lac/pho/d/los-angeles-atomos-shogun-inferno-w/7419198731.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1911:05
",500,https://losangeles.craigslist.org/wst/for/d/los-angeles-mattel-creations-golden/7422780188.html,,,,new,,,,,,,,,,Mattel Creations,0,2ft tall,0,0,0,0,0,0,0,0
"
2021-12-2214:48
",300,https://losangeles.craigslist.org/sfv/bik/d/burbank-vintage-shogun-100-bike-bicycle/7424089130.html,,,,,,,,,,,,,,0,0,0,other/unknown,other,25in frame,0,26 in,0,0,0
"
2021-12-0109:05
",0,https://losangeles.craigslist.org/sgv/clt/d/board-games-star-wars/7415030253.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0611:04
",90,https://losangeles.craigslist.org/sfv/bik/d/24-performance-503-bike/7417272155.html,,,,,,,,,,,,,,Performance 503 Bike,0,0,steel,mountain,"19""",none (rigid),24 in,0,0,0
"
2021-12-1710:56
",300,https://losangeles.craigslist.org/wst/bik/d/carson-specialized-mountain-bike-dual/7422006794.html,,,,,,,,,,,,,,0,0,0,aluminum,mountain,19 in 48cm,0,27 in,0,0,0
"
2021-12-1810:09
",260,https://losangeles.craigslist.org/lgb/bik/d/lakewood-giant-hybrid-road-bike-21/7422394324.html,,,,,,,,,,,,,,0,0,0,aluminum,hybrid/comfort,"21 inch, medium",0,27.5 in,0,0,0
"
2021-12-1711:11
",260,https://losangeles.craigslist.org/wst/bik/d/carson-giant-hybrid-mountain-bike-21/7422015035.html,,,,,,,,,,,,,,0,0,0,alloy,hybrid/comfort,21 in 53cm,0,27.5 in,0,0,0
"
2021-12-1618:56
",3000,https://losangeles.craigslist.org/wst/ele/d/los-angeles-film-equipment-full-set-up/7421771275.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2909:58
",16000,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-1996-mitsubishi-delica-l400/7414131886.html,1996 Mitsubishi Delica L400,1996,71000,like new,6 cylinders,4wd,gas,black,full-size,clean,automatic,mini-van,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1610:42
",200,https://orangecounty.craigslist.org/bik/d/placentia-shogun-t1000-hybrib-road-bike/7421576809.html,delivery available,deli,,,,,,,,,,,,0,0,0,aluminum,hybrid/comfort,-,0,700C,0,0,0
"
2021-11-2518:12
",400,https://orangecounty.craigslist.org/clt/d/newport-beach-motu-2021-mattel/7412692116.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-1413:41
",50,https://orangecounty.craigslist.org/hab/d/irvine-shogun-massage-gun/7407983902.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1711:33
",260,https://orangecounty.craigslist.org/bik/d/fullerton-giant-hybrid-road-bike-21/7422026401.html,,,,,,,,,,,,,,0,0,0,alloy,hybrid/comfort,"21 inch, medium",0,27.5 in,0,0,0
"
2021-12-1711:39
",300,https://orangecounty.craigslist.org/bik/d/buena-park-specialized-mountain-bike-19/7422029448.html,,,,,,,,,,,,,,0,0,0,aluminum,mountain,19 in 48cm,0,27.5 in,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-10-3018:49
",100,https://orangecounty.craigslist.org/bik/d/huntington-beach-coca-cola-mt-bike/7401501926.html,,,,good,,,,,,,,,,Kent,Coca Cola,0,aluminum,mountain,18 inch,frame and fork (full suspension),26 in,caliper,none,bmx
"
2021-11-0716:41
",275,https://inlandempire.craigslist.org/bik/d/murrieta-shogun-road-bike/7404941988.html,,,,,,,,,,,,,,0,0,0,other/unknown,road,MEDIUM,0,26 in,0,0,0
"
2021-11-2914:11
",1000,https://ventura.craigslist.org/bik/d/ventura-nos-like-new-shogun-80s-touring/7414275854.html,,,,new,,,,,,,,,,Shogun,2000,0,steel,road,60cm,0,27 in,cantilever,0,drop
"
2021-11-0310:07
",72,https://ventura.craigslist.org/clt/d/moorpark-graded-comic-book-collector/7403000964.html,,,,excellent,,,,,,,,,,Marvel,0,0,0,0,0,0,0,0,0,0
